date,nav
2015-01-30,99.8575
2015-02-02,100.46642752650939
2015-02-03,99.54056448297256
2015-02-04,99.69943907750937
2015-02-05,98.06689773769533
2015-02-06,96.44860562131834
2015-02-09,96.09696224653801
2015-02-10,96.76376965159356
2015-02-11,98.2050474513125
2015-02-12,99.70478580506929
2015-02-13,101.38272786278041
2015-02-16,101.07495777409697
2015-02-18,102.17018775231266
2015-02-19,101.16954399957686
2015-02-20,100.83769874165218
2015-02-23,100.10273168627364
2015-02-24,99.9186600557164
2015-02-25,99.40825716150124
2015-02-26,97.97398919817172
2015-02-27,99.02180413974708
2015-02-28,99.8317841155487
2015-03-02,101.32010125346385
2015-03-03,102.81349148073426
2015-03-04,102.65014969801747
2015-03-05,104.8645130722303
2015-03-09,105.0223045839579
2015-03-10,106.21590413752969
2015-03-11,106.86524084114689
2015-03-12,109.46858592093291
2015-03-13,109.21093572263331
2015-03-16,110.15702124048464
2015-03-17,112.1078789495455
2015-03-18,112.3489412695344
2015-03-19,111.97834844436368
2015-03-20,108.53759794422542
2015-03-23,107.96693103441092
2015-03-24,108.63314521896186
2015-03-25,108.7486122144354
2015-03-26,107.40262107476867
2015-03-27,108.08207892264215
2015-03-30,110.0075513777479
2015-03-31,111.45229754933926
2015-04-01,114.07152787939974
2015-04-06,117.19527262099079
2015-04-07,119.59770208394175
2015-04-08,121.05737646339666
2015-04-09,119.63676297136519
2015-04-10,119.65560579544591
2015-04-13,120.08087111746103
2015-04-15,119.36812420851751
2015-04-16,118.28512682680058
2015-04-17,116.06525102244413
2015-04-20,113.61636826992414
2015-04-21,112.4008664290478
2015-04-22,113.27790995683017
2015-04-23,112.63709624407315
2015-04-24,109.5176713956973
2015-04-27,104.04582003941188
2015-04-28,104.46430343036904
2015-04-29,105.41445936921627
2015-04-30,105.64847182639095
2015-05-04,109.84783298588754
2015-05-05,110.62376263485696
2015-05-06,106.46671054026491
2015-05-07,104.54388967044844
2015-05-08,106.23513046437422
2015-05-11,107.65153980736287
2015-05-12,105.92051202404484
2015-05-13,107.11317896918726
2015-05-14,107.79820633909003
2015-05-15,108.94315458550487
2015-05-18,111.15559994898685
2015-05-19,111.7869477324077
2015-05-20,111.8287775908644
2015-05-21,111.78311256618873
2015-05-22,111.72515223080771
2015-05-25,110.72215425926636
2015-05-26,111.15448003545407
2015-05-27,112.11084331530752
2015-05-28,110.73544307501282
2015-05-29,113.0480509412415
2015-06-01,112.85875113159594
2015-06-02,110.8247232988386
2015-06-03,108.34261865109843
2015-06-04,108.42695161143938
2015-06-05,108.86647419408338
2015-06-08,107.27539808336061
2015-06-09,106.48087881951123
2015-06-10,108.09100434010384
2015-06-11,106.27592322589516
2015-06-12,105.99611204315437
2015-06-15,106.32012968283517
2015-06-16,107.28912575756696
2015-06-17,109.18855910980976
2015-06-18,111.13323882466459
2015-06-19,112.63440566416043
2015-06-22,113.23723712074438
2015-06-23,113.53235282490486
2015-06-24,114.1453405094395
2015-06-25,113.9289190235606
2015-06-26,113.93138969322689
2015-06-29,112.23611688659057
2015-06-30,114.35077296667055
2015-07-01,115.59985597064241
2015-07-02,115.4848169102426
