sym,fy,sales,sales_src,pat,pat_src,networth,networth_src,total_assets,total_assets_src,total_debt,total_debt_src,capex
PITTIENG,2020,525.0,vistas,17.0,vistas,,,596.0781022334884,legacy_rescaled,,,
PITTIENG,2021,518.0,vistas,29.0,vistas,236.0,vistas,701.0,vistas,318.0,vistas,
PITTIENG,2022,954.0,vistas,52.0,vistas,284.0,vistas,957.0,vistas,393.0,vistas,
PITTIENG,2023,1100.0,vistas,59.0,vistas,334.0,vistas,978.0,vistas,356.0,vistas,-105.10000000000001
PITTIENG,2024,1244.0,vistas,90.0,vistas,473.0,vistas,1391.0,vistas,628.0,vistas,-238.02
PITTIENG,2025,1705.0,vistas,122.0,vistas,899.0,vistas,2004.0,vistas,690.0,vistas,-544.33
PITTIENG,2026,1913.0,vistas,118.0,vistas,987.0,vistas,2138.0,vistas,811.0,vistas,
PIXTRANS,2015,212.0,vistas,4.0,vistas,150.0,vistas,329.0,vistas,134.0,vistas,
PIXTRANS,2016,224.0,vistas,7.0,vistas,152.0,vistas,330.0,vistas,125.0,vistas,
PIXTRANS,2017,239.0,vistas,16.0,vistas,171.0,vistas,355.0,vistas,128.0,vistas,
PIXTRANS,2018,253.0,vistas,23.0,vistas,189.0,vistas,353.0,vistas,105.0,vistas,
PIXTRANS,2019,295.0,vistas,29.0,vistas,214.0,vistas,385.0,vistas,113.0,vistas,
PIXTRANS,2020,304.0,vistas,30.0,vistas,237.0,vistas,400.0,vistas,101.0,vistas,
PIXTRANS,2021,380.0,vistas,65.0,vistas,300.0,vistas,440.0,vistas,74.0,vistas,
PIXTRANS,2022,449.0,vistas,69.0,vistas,365.0,vistas,555.0,vistas,118.0,vistas,
PIXTRANS,2023,486.0,vistas,65.0,vistas,418.0,vistas,579.0,vistas,72.0,vistas,
PIXTRANS,2024,493.0,vistas,83.0,vistas,493.0,vistas,637.0,vistas,44.0,vistas,
PIXTRANS,2025,589.0,vistas,113.0,vistas,596.0,vistas,730.0,vistas,35.0,vistas,
PIXTRANS,2026,582.0,vistas,107.0,vistas,697.0,vistas,830.0,vistas,24.0,vistas,
PKTEA,2013,40.09,vistas,1.44,vistas,102.41999999999999,vistas,112.14,vistas,3.39,vistas,
PKTEA,2014,36.97,vistas,1.48,vistas,103.35,vistas,113.85,vistas,3.01,vistas,
PKTEA,2015,30.63,vistas,-4.11,vistas,98.96,vistas,111.88,vistas,6.24,vistas,
PKTEA,2016,39.65,vistas,-2.14,vistas,96.53999999999999,vistas,116.5,vistas,13.87,vistas,
PKTEA,2017,45.23,vistas,1.0,vistas,128.65,vistas,141.78,vistas,7.37,vistas,
PKTEA,2018,49.87,vistas,6.27,vistas,168.65,vistas,198.9,vistas,22.13,vistas,
PKTEA,2019,49.2,vistas,2.93,vistas,171.17,vistas,203.09,vistas,23.87,vistas,
PKTEA,2020,39.38,vistas,-3.62,vistas,163.84,vistas,198.39,vistas,26.21,vistas,
PKTEA,2021,72.79,vistas,11.4,vistas,180.63,vistas,204.34,vistas,14.87,vistas,
PKTEA,2022,47.2,vistas,0.5,vistas,185.66,vistas,247.68,vistas,51.0,vistas,
PKTEA,2023,51.54,vistas,-3.36,vistas,181.82,vistas,215.85,vistas,21.84,vistas,
PKTEA,2024,53.7,vistas,5.4,vistas,191.22,vistas,227.85,vistas,21.53,vistas,
PLATIND,2021,89.0,vistas,5.0,vistas,4.0,vistas,32.0,vistas,5.0,vistas,
PLATIND,2022,188.0,vistas,18.0,vistas,22.0,vistas,84.0,vistas,26.0,vistas,
PLATIND,2023,231.0,vistas,38.0,vistas,62.0,vistas,121.0,vistas,22.0,vistas,
PLATIND,2024,264.0,vistas,44.0,vistas,331.0,vistas,395.0,vistas,11.0,vistas,
PLATIND,2025,392.0,vistas,50.0,vistas,384.0,vistas,468.0,vistas,18.0,vistas,
PLATIND,2026,450.0,vistas,51.0,vistas,443.0,vistas,549.0,vistas,10.0,vistas,
PML,2015,2165.0,vistas,15.0,vistas,118.0,vistas,198.0,vistas,21.0,vistas,
PML,2016,2466.0,vistas,20.0,vistas,139.0,vistas,218.0,vistas,24.0,vistas,
PML,2017,2891.0,vistas,13.0,vistas,149.0,vistas,228.0,vistas,18.0,vistas,
PML,2018,4553.0,vistas,214.0,vistas,364.0,vistas,473.0,vistas,22.0,vistas,
