Date,pct_252h,pct_756h,pct_a200,nh_nl,n_elig,n500,fwd3,fwd6,ret_b3,n500_max12,idx_near_high
2010-06-30,8.849557522123893,6.796116504854369,73.39181286549707,8.55457227138643,339,5944.93,0.11856994110948316,0.12349851049549776,,,False
2010-07-31,10.557184750733137,8.012820512820513,75.21613832853026,9.970674486803519,341,6027.16,0.11470244692359244,-0.00743799733207684,,,False
2010-08-31,2.9069767441860463,1.5527950310559007,72.06703910614524,0.581395348837209,344,6115.32,0.05655959132146804,-0.06059208675915573,,,False
2010-09-30,7.758620689655173,5.246913580246914,80.77994428969359,7.471264367816092,348,6649.82,0.004406134301379705,-0.05801961556854163,0.11856994110948316,,False
2010-10-31,5.58659217877095,3.6809815950920246,78.67036011080333,3.910614525139665,358,6718.49,-0.10957224019087619,-0.06967488230242203,0.11470244692359244,,False
2010-11-30,1.1142061281337048,0.6134969325153374,61.60220994475138,0.2785515320334262,359,6461.2,-0.11088033182690527,-0.057314430755896706,0.05655959132146804,,False
2010-12-31,3.0470914127423825,3.0395136778115504,62.362637362637365,3.0470914127423825,361,6679.12,-0.06215190025033235,-0.0791137155792978,0.004406134301379705,,False
2011-01-31,0.27548209366391185,0.0,29.427792915531334,-17.63085399449036,363,5982.33,0.044806956486853844,0.00745361757041163,-0.10957224019087619,,False
2011-02-28,0.27472527472527475,0.30120481927710846,18.97018970189702,-8.241758241758241,364,5744.78,0.060245997235751414,-0.04116258586055499,-0.11088033182690527,,False
2011-03-31,1.3623978201634876,1.492537313432836,33.333333333333336,0.8174386920980925,367,6264.0,-0.018085887611749674,-0.13285600255427843,-0.06215190025033235,,False
2011-04-30,2.168021680216802,1.791044776119403,40.59139784946237,1.8970189701897018,369,6250.38,-0.03575142631328021,-0.07866881693593031,0.044806956486853844,,False
2011-05-31,3.225806451612903,3.283582089552239,33.333333333333336,2.419354838709677,372,6090.88,-0.09564627771356515,-0.14501352842282234,0.060245997235751414,6718.49,False
2011-06-30,4.557640750670242,4.17910447761194,34.473684210526315,4.289544235924933,373,6150.71,-0.11688406704266663,-0.20072967185902113,-0.018085887611749674,6718.49,False
2011-07-31,3.4574468085106385,2.6865671641791047,42.819843342036556,-1.5957446808510638,376,6026.92,-0.04450863791123827,-0.07365287742329407,-0.03575142631328021,6718.49,False
2011-08-31,1.5789473684210527,1.1940298507462686,29.45736434108527,-0.7894736842105261,380,5508.31,-0.05458843093435195,0.061790276872579764,-0.09564627771356515,6718.49,False
2011-09-30,0.0,0.0,30.670103092783506,-9.138381201044387,383,5431.79,-0.09494291936912147,0.06384451534392888,-0.11688406704266663,6718.49,False
2011-10-31,2.3255813953488373,1.4836795252225519,38.717948717948715,1.2919896640826876,387,5758.67,-0.030501834625008883,-0.006791498731477885,-0.04450863791123827,6679.12,False
2011-11-30,0.5154639175257731,0.29673590504451036,22.506393861892583,-7.216494845360825,388,5207.62,0.12309845956502197,0.030705005357533954,-0.05458843093435195,6679.12,False
2011-12-31,0.0,0.0,12.468193384223918,-10.0,390,4916.08,0.17544466322761232,0.1671982555206588,-0.09494291936912147,6264.0,False
2012-01-31,2.557544757033248,1.7699115044247788,35.11450381679389,2.3017902813299234,391,5583.02,0.02445629784596859,0.01909002654477332,-0.030501834625008883,6264.0,False
2012-02-29,3.3078880407124682,2.3529411764705883,58.22784810126582,2.544529262086514,393,5848.67,-0.08226656658693343,-0.025104852898180208,0.12309845956502197,6264.0,False
