date,nav
2015-01-30,99.87236070376736
2015-02-02,101.03005199498122
2015-02-03,99.58967734702162
2015-02-04,98.88461895876408
2015-02-05,97.79415277202877
2015-02-06,96.00123301698916
2015-02-09,94.26784740944336
2015-02-10,95.40476467913551
2015-02-11,97.36577164943549
2015-02-12,98.0507715142261
2015-02-13,98.65435300814937
2015-02-16,98.31069430604734
2015-02-18,99.73131353521075
2015-02-19,99.48359585471808
2015-02-20,99.58927167496338
2015-02-23,98.51884726656318
2015-02-24,98.00510217409675
2015-02-25,97.33247227961743
2015-02-26,95.78552771432646
2015-02-27,97.44313193360934
2015-02-28,97.78737771822959
2015-03-02,99.2905092240059
2015-03-03,100.68596825375906
2015-03-04,99.48777951193689
2015-03-05,100.41951579413227
2015-03-09,101.20386015656811
2015-03-10,101.42984581479442
2015-03-11,100.65092455075334
2015-03-12,101.4239269163094
2015-03-13,99.59708765214813
2015-03-16,99.9539878075634
2015-03-17,100.4905084828138
2015-03-18,101.27798323689821
2015-03-19,100.79434346522964
2015-03-20,97.99883318026156
2015-03-23,97.59854179585146
2015-03-24,97.27367518540392
2015-03-25,97.40230421405448
2015-03-26,95.43901766320475
2015-03-27,95.56909317407697
2015-03-30,98.88790675224548
2015-03-31,99.45440649166915
2015-04-01,102.05912754149186
2015-04-06,103.63093213093872
2015-04-07,104.59610226261232
2015-04-08,106.1273462585396
2015-04-09,105.74272034785604
2015-04-10,106.82730485334655
2015-04-13,107.29577498657935
2015-04-15,105.6798982019417
2015-04-16,104.33292239180922
2015-04-17,102.54569805240926
2015-04-20,100.32238924776304
2015-04-21,99.64199534865955
2015-04-22,99.16669532145048
2015-04-23,98.4336019593877
2015-04-24,94.44462160091244
2015-04-27,90.08010206691844
2015-04-28,91.25192002549826
2015-04-29,92.3672571986263
2015-04-30,92.27349190405495
2015-05-04,95.55410459296945
2015-05-05,95.8002762874222
2015-05-06,91.21803543352506
2015-05-07,87.74418999448632
2015-05-08,89.74047400350355
2015-05-11,91.67118366638992
2015-05-12,88.81896375694464
2015-05-13,90.28724889261517
2015-05-14,91.85020703750044
2015-05-15,92.80780816381369
2015-05-18,94.408279483923
2015-05-19,94.78496473797978
2015-05-20,94.86546148450878
2015-05-21,94.639252975139
2015-05-22,94.68059775049291
2015-05-25,93.89735932752403
2015-05-26,94.24896828339122
2015-05-27,95.0561149689664
2015-05-28,94.60489327645033
2015-05-29,95.83102231517887
2015-06-01,95.75807510275138
2015-06-02,93.99568878105734
2015-06-03,91.57972526027383
2015-06-04,91.56602383307357
2015-06-05,93.00026194578815
2015-06-08,92.8279992345899
2015-06-09,92.08141340320215
2015-06-10,93.2100720800052
2015-06-11,91.06868096374718
2015-06-12,90.36357095396718
2015-06-15,91.18959297857532
2015-06-16,91.30850051597501
2015-06-17,92.57892748419152
2015-06-18,93.08709392821326
2015-06-19,93.96300693812968
2015-06-22,95.06831322906586
2015-06-23,95.2933208225693
2015-06-24,95.29935601793406
2015-06-25,95.47155350017138
2015-06-26,95.28520088344169
2015-06-29,93.7814479049752
2015-06-30,95.26796500969266
2015-07-01,96.2020920678826
2015-07-02,96.95467438930442
2015-07-03,97.23097017193322
2015-07-06,99.0507761171421
2015-07-07,100.17251960601754
2015-07-08,99.27983178178751
2015-07-09,99.42779315673329
2015-07-10,100.40019781675687
2015-07-13,101.81192914286031
2015-07-14,102.29273385566304
2015-07-15,102.35832647332947
2015-07-16,103.78761098989663
2015-07-17,104.17321088484705
2015-07-20,104.8874002365937
2015-07-21,102.42429454071737
2015-07-22,103.80960033461282
2015-07-23,102.96042487563663
2015-07-24,103.13580328921643
2015-07-27,102.95483085555736
2015-07-28,102.39503417825257
2015-07-29,103.01408994606714
2015-07-30,104.67587230451736
2015-07-31,105.40773948126427
2015-08-03,106.65432948486483
2015-08-04,107.54744872257677
2015-08-05,107.74145419422928
2015-08-06,106.88110486651634
2015-08-07,107.18259352284565
2015-08-10,106.41318803734377
2015-08-11,106.51468212380331
2015-08-12,103.46074851302848
2015-08-13,102.07162782533713
2015-08-14,105.09119028534728
2015-08-17,105.71291018344208
2015-08-18,108.07718576596345
2015-08-19,108.30292918606173
2015-08-20,105.98305770495732
2015-08-21,105.08214807423207
2015-08-24,91.85116208111789
2015-08-25,93.05175580513486
2015-08-26,92.92254933768368
2015-08-27,96.53297945634245
2015-08-28,97.40950685346594
2015-08-31,97.18143690028153
2015-09-01,93.78733137222163
2015-09-02,95.24898435854044
2015-09-03,97.22415322044225
2015-09-04,93.01710056581263
2015-09-07,89.76536676466122
2015-09-08,90.4121641685106
2015-09-09,93.36909690946067
2015-09-10,93.16865320253953
2015-09-11,95.161391826308
2015-09-14,96.128768371061
2015-09-15,94.74746541361046
2015-09-16,93.76292832092165
2015-09-18,95.79898716179956
2015-09-21,97.61482220171278
2015-09-22,95.98425712738475
2015-09-23,97.44519478201342
2015-09-24,98.32550274309067
2015-09-28,98.17216736350514
2015-09-29,97.55336310567388
2015-09-30,99.01276850852788
2015-10-01,99.91798994308891
2015-10-05,102.86492245758073
2015-10-06,104.67672358484366
2015-10-07,104.67763623888005
2015-10-08,104.50261769210805
2015-10-09,103.77393423865881
2015-10-12,103.92202032756468
2015-10-13,104.05334560451453
2015-10-14,104.35261039306832
2015-10-15,104.66165736359824
2015-10-16,105.00387348374497
2015-10-19,106.87104278998774
2015-10-20,107.50655534730258
2015-10-21,107.35370138971538
2015-10-23,107.18672005423545
2015-10-26,105.79812908355682
2015-10-27,106.37385568559225
2015-10-28,107.79117008530575
2015-10-29,106.92358145236437
2015-10-30,105.5864849481804
2015-11-02,105.76160007458411
