date,nav
2015-01-30,99.8575
2015-02-02,100.83121289890978
2015-02-03,100.74765773891414
2015-02-04,100.67105978506108
2015-02-05,99.85468672813856
2015-02-06,97.86387713964264
2015-02-09,96.62353935202884
2015-02-10,97.7892106155869
2015-02-11,99.5518065957987
2015-02-12,101.37804198065568
2015-02-13,102.44036822924865
2015-02-16,102.36333242518798
2015-02-18,103.72504190126583
2015-02-19,103.68441450000944
2015-02-20,103.69535465030592
2015-02-23,103.86634145917817
2015-02-24,103.36016347772477
2015-02-25,103.06288900208554
2015-02-26,102.29817913871997
2015-02-27,104.1428553088149
2015-02-28,104.17921178004592
2015-03-02,105.89196526424215
2015-03-03,107.35311901235663
2015-03-04,106.91794212883404
2015-03-05,107.46574303531088
2015-03-09,106.9155524882385
2015-03-10,107.18239242161567
2015-03-11,107.58162940345984
2015-03-12,108.48420952412074
2015-03-13,106.36033123483753
2015-03-16,106.11538846547326
2015-03-17,107.2512244750535
2015-03-18,107.43887292028765
2015-03-19,107.1459921414425
2015-03-20,105.19691021870524
2015-03-23,103.98876963215783
2015-03-24,103.6612210403964
2015-03-25,103.78328296558767
2015-03-26,103.1226387613502
2015-03-27,102.95434000688164
2015-03-30,105.7422661370388
2015-03-31,106.0621420045261
2015-04-01,108.17095433755408
2015-04-06,109.65005298038795
2015-04-07,110.54563895574758
2015-04-08,112.75195257138544
2015-04-09,112.70876033427625
2015-04-10,113.26257729822817
2015-04-13,113.87478710646377
2015-04-15,112.6531793123253
2015-04-16,111.3142289102336
2015-04-17,109.38122283581619
2015-04-20,106.47426430351558
2015-04-21,105.84116899882297
2015-04-22,104.99067195116622
2015-04-23,104.93878774036085
2015-04-24,102.387888371788
2015-04-27,99.37998992087505
2015-04-28,101.4443117135921
2015-04-29,102.33324987908337
2015-04-30,102.44525790139166
2015-05-04,104.68706126029068
2015-05-05,104.98992528489566
2015-05-06,100.97252061074173
2015-05-07,98.19976923963586
2015-05-08,100.19488373695002
2015-05-11,102.34272988239562
2015-05-12,100.34347054590307
2015-05-13,101.91986220255804
2015-05-14,103.24626965679987
2015-05-15,104.13722134590803
2015-05-18,105.24165629171334
2015-05-19,105.59764035376215
2015-05-20,105.81288092931364
2015-05-21,105.5248914867468
2015-05-22,105.75378577680144
2015-05-25,105.28369622242717
2015-05-26,105.2271850536535
2015-05-27,105.43168458153195
2015-05-28,105.6117676982424
2015-05-29,107.01028845741592
2015-06-01,106.3746343949059
2015-06-02,104.41988852271152
2015-06-03,101.88685939225273
2015-06-04,102.49444949462442
2015-06-05,103.64353628278205
2015-06-08,101.59856320010076
2015-06-09,101.23398257109712
2015-06-10,102.96567777530551
2015-06-11,100.61210618722254
2015-06-12,100.77400572258485
2015-06-15,101.0112509925648
2015-06-16,101.42675797912128
2015-06-17,103.44161214626924
2015-06-18,104.88587737398703
2015-06-19,104.96159413467518
2015-06-22,106.40911858628743
2015-06-23,106.87276719489049
2015-06-24,106.47139313310949
2015-06-25,106.74712712354616
2015-06-26,107.24505045155745
2015-06-29,105.51002380375616
2015-06-30,107.58669840041313
2015-07-01,109.29330771872779
2015-07-02,110.0604061128504
2015-07-03,110.27408415726899
2015-07-06,111.94892306621492
2015-07-07,112.31260597791875
2015-07-08,111.46746084587343
2015-07-09,111.08248758096467
2015-07-10,111.08913790142982
2015-07-13,112.47944825689885
2015-07-14,112.39527861665452
2015-07-15,112.90777640393651
2015-07-16,114.29073614078796
2015-07-17,114.43476963938805
2015-07-20,115.85472202703973
2015-07-21,114.08638254862579
2015-07-22,114.88991369202145
