date,nav
2015-01-30,99.8575
2015-02-02,100.74529852269399
2015-02-03,100.37985530173594
2015-02-04,99.94698684452817
2015-02-05,98.77108223954161
2015-02-06,96.22430698459728
2015-02-09,95.10595876309443
2015-02-10,95.67625517377556
2015-02-11,97.66736471215903
2015-02-12,99.0366228743195
2015-02-13,99.94001583584543
2015-02-16,99.83406141882517
2015-02-18,100.83237116946592
2015-02-19,100.26557965501846
2015-02-20,100.37537352095683
2015-02-23,99.69830355312715
2015-02-24,98.74864925559353
2015-02-25,98.37007971306132
2015-02-26,97.26053134671093
2015-02-27,98.75542392274008
2015-02-28,98.97113317992752
2015-03-02,100.45897254503792
2015-03-03,101.84510668719223
2015-03-04,100.89181789241846
2015-03-05,101.61212501200151
2015-03-09,102.39373386585913
2015-03-10,102.65220694604741
2015-03-11,102.54307604676842
2015-03-12,103.28677846568914
2015-03-13,101.16364815881484
2015-03-16,100.40492282367434
2015-03-17,100.83805814792251
2015-03-18,101.87633858172376
2015-03-19,101.40088088827383
2015-03-20,98.9068638598816
2015-03-23,98.20382293287598
2015-03-24,98.06059873625674
2015-03-25,98.14432496231171
2015-03-26,96.4461001903814
2015-03-27,96.53169043380593
2015-03-30,100.0916446527277
2015-03-31,100.66157961001416
2015-04-01,103.69253919039086
2015-04-06,105.52251999839137
2015-04-07,106.72864597674771
2015-04-08,108.82852651463577
2015-04-09,108.4374429964936
2015-04-10,109.83090784271107
2015-04-13,111.02338368647342
2015-04-15,109.47389269455076
2015-04-16,107.7158818145728
2015-04-17,106.09872296246321
2015-04-20,103.5431054645351
2015-04-21,103.08440382755067
2015-04-22,102.82136416460045
2015-04-23,102.60349641145365
2015-04-24,98.60776100835069
2015-04-27,93.98895207503989
2015-04-28,95.60056858463643
2015-04-29,96.77100799741063
2015-04-30,96.75786963869272
2015-05-04,100.41841120594854
2015-05-05,100.48319922392841
2015-05-06,95.95123553920949
2015-05-07,92.4258416819217
2015-05-08,94.76167507888864
2015-05-11,96.59109056642346
2015-05-12,93.56408223043809
2015-05-13,94.9574643580726
2015-05-14,96.3179530579611
2015-05-15,97.5310961612007
2015-05-18,99.47062421598224
2015-05-19,100.04737872681137
2015-05-20,100.14314623995153
2015-05-21,99.85932980178923
2015-05-22,100.03911439994121
2015-05-25,99.04210191345827
2015-05-26,99.42794533647725
2015-05-27,99.8433613746647
2015-05-28,99.62414948788468
2015-05-29,100.5998650302726
2015-06-01,100.57347088432496
2015-06-02,98.75584509479596
2015-06-03,95.1112084342608
2015-06-04,95.1337522697576
2015-06-05,96.4053276898715
2015-06-08,95.64504421871575
2015-06-09,94.5781033837355
2015-06-10,96.10601049336168
2015-06-11,93.19272270421021
2015-06-12,92.46131517960295
2015-06-15,93.21261090799294
2015-06-16,93.72717110035525
2015-06-17,95.32456055958964
2015-06-18,96.26995206545534
2015-06-19,96.95651575430479
2015-06-22,98.22932837308716
2015-06-23,99.08213373889562
2015-06-24,99.99492166194153
2015-06-25,100.43495615291897
2015-06-26,99.84637180690638
2015-06-29,97.97901026899771
2015-06-30,100.01433259341371
2015-07-01,101.44530798296552
2015-07-02,102.33168842011456
2015-07-03,103.15716776097676
2015-07-06,106.00904038581005
2015-07-07,106.99543706699316
2015-07-08,106.72140181977282
2015-07-09,106.91168177202424
2015-07-10,108.07490830939055
2015-07-13,109.64953452062228
2015-07-14,109.96969720087354
2015-07-15,110.09687684003318
2015-07-16,111.32378023773853
2015-07-17,111.31791212219288
2015-07-20,112.22960441713168
2015-07-21,109.81496904662697
2015-07-22,111.83527287677423
2015-07-23,111.5159617643872
2015-07-24,111.89868464350457
2015-07-27,112.07024240408202
2015-07-28,111.7302936624888
2015-07-29,112.51191524880845
2015-07-30,114.34890408210778
2015-07-31,116.40396048840647
2015-08-03,118.1545758270289
2015-08-04,118.83209548670412
2015-08-05,119.67282170233572
2015-08-06,118.57201801922494
2015-08-07,118.70486672386816
2015-08-10,117.75252289530857
2015-08-11,116.79280705381227
2015-08-12,112.73119079833486
2015-08-13,110.46468466048653
2015-08-14,113.91514172941781
2015-08-17,114.75172382101533
2015-08-18,116.98998575689907
2015-08-19,117.16544597086505
2015-08-20,114.26037939004637
2015-08-21,113.82570937650088
2015-08-24,99.91503059552747
2015-08-25,100.39600742416089
2015-08-26,100.04573550142973
2015-08-27,104.65123648906638
2015-08-28,105.98191744419772
2015-08-31,105.62633858053488
2015-09-01,101.95636369013985
2015-09-02,102.72014808019293
2015-09-03,105.38116228338
2015-09-04,101.15215792479874
2015-09-07,97.79825119379657
2015-09-08,98.03277175237893
2015-09-09,100.95185657348875
2015-09-10,100.45516774442952
2015-09-11,102.40934686076794
2015-09-14,103.76921747788256
2015-09-15,102.77602631950376
2015-09-16,102.24344937033001
2015-09-18,104.31190050480652
2015-09-21,106.24145605560132
2015-09-22,104.85353335052949
2015-09-23,106.27652394546075
2015-09-24,107.1509533968313
2015-09-28,106.45716576731695
2015-09-29,105.85726259288298
2015-09-30,107.27675936015568
2015-10-01,108.37300841809878
2015-10-05,111.46893289011241
2015-10-06,112.745177736572
2015-10-07,112.57924194192212
2015-10-08,112.66305020743322
2015-10-09,112.23863317724276
2015-10-12,112.20963338578672
2015-10-13,112.43946292395886
2015-10-14,112.96028534729999
2015-10-15,113.45384361656123
2015-10-16,113.47338026146276
2015-10-19,115.29215388778485
2015-10-20,115.81722617557126
2015-10-21,115.91614666573685
2015-10-23,115.35781335119793
2015-10-26,114.24872717753378
2015-10-27,114.84827098985234
2015-10-28,115.87657069612656
2015-10-29,114.98397209460664
2015-10-30,113.16720136392566
2015-11-02,112.71543306986521
2015-11-03,114.91231236899556
2015-11-04,114.4547768732709
2015-11-05,112.77556501257747
2015-11-06,111.34637498765139
2015-11-09,113.0498935413769
2015-11-10,112.82305873800453
2015-11-11,115.0024344661274
2015-11-13,114.48444613241004
2015-11-16,114.53180637998359
2015-11-17,114.61891638748727
