code,hold_name,best,best_name,te,ratio,n,name_agree
121,Nippon India Growth Mid Cap Fund - (G),118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,0.0037,1.0,151,True
12106,AXIS Midcap Fund (G),120505,Axis Midcap Fund - Direct Plan - Growth,0.00721,1.56,151,True
1212,Aditya Birla SL Dividend Yield Fund (G),152045,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth,0.01343,1.18,151,False
12171,Bandhan Infrastructure Fund (G),118469,BANDHAN Infrastructure Fund-Direct Plan-Growth,0.004,4.34,151,True
12173,LIC MF Equity Savings Fund - Regular (G),151368,Axis Business Cycles Fund - Direct Plan - Growth,0.0127,1.11,151,False
1223,Kotak Large Cap Fund (IDCW),120152,Kotak Large Cap  Fund - Growth - Direct,0.00237,3.07,150,True
1227,DSP Large Cap Fund - Regular (G),119250,DSP Large Cap Fund - Direct Plan - Growth,0.00356,2.84,151,True
12421,Mirae Asset Great Consumer Fund (G),150266,BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option,0.00993,1.16,151,False
126,Nippon India Vision Large & Mid Cap Fund - (G),118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,0.00239,1.01,151,True
12741,Union Flexi Cap Fund (G),150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,0.00708,1.08,150,True
13358,HSBC Equity Savings Fund (G),151078,HSBC ELSS Tax saver Fund - Direct Growth,0.01479,1.09,151,False
13420,Tata Retirement Savings Fund - Progressive (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00786,1.4,151,False
13421,Tata Retirement Savings Fund - Moderate (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00811,1.29,151,False
13422,Tata Retirement Savings Fund - Conservative (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00661,1.55,151,False
13528,Union ELSS Tax Saver Fund - Regular (G),119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00329,2.11,150,True
1363,UTI-Master Equity Plan Unit Scheme,151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,0.00757,1.01,151,False
1377,Nippon India Banking&Financial Services (G),118588,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option,0.00359,1.0,151,True
14011,Groww Large Cap Fund (G),119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,0.00579,1.56,151,False
14756,Taurus Banking & Financial Services Fund (G),118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,0.00544,1.88,151,True
148,Tata Aggressive Hybrid Fund - Regular (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00952,1.02,151,False
1487,Baroda BNP Paribas Multi Cap Fund-Reg (G),119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,0.0045,2.11,151,True
1491,Canara Robeco Flexi Cap Fund (G),118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,0.00329,2.01,151,True
14984,Baroda BNP Paribas Banking&Fin Serv Fund-Reg (G),119333,Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,0.00625,1.52,151,True
14988,AXIS Focused Fund - Regular (G),120468,Axis Focused Fund - Direct Plan - Growth Option,0.00446,3.07,151,True
1508,Tata Equity Saving Fund - (App),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.01183,1.03,151,False
1509,Templeton India Value Fund - (G),118494,Templeton India Value Fund - Direct - Growth,0.00512,2.6,151,True
151,Tata Ethical Fund - (G),119172,Tata Ethical Fund -Direct Plan- Growth Option,0.00349,3.61,151,True
153,Tata Large Cap Fund - Regular (G),119160,Tata Large Cap Fund -Direct Plan Growth Option,0.00266,3.28,151,True
155,Taurus Mid Cap Fund (G),118872,Taurus Mid Cap Fund - Direct Plan - Growth,0.0059,2.79,151,True
1553,Kotak Debt Hybrid Fund (G),149185,Kotak Multicap Fund-Direct Plan-Growth,0.00951,1.31,151,False
15656,SBI Consumption Opportunities Fund (G),120575,SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,0.0052,2.73,151,True
15657,SBI Technology Opportunities Fund (G),120578,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,0.00937,1.35,151,True
158,Taurus ELSS Tax Saver Fund (G),118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,0.00533,2.54,151,True
1599,HDFC Hybrid Debt Fund (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.00816,1.62,151,False
1615,UTI-Conservative Hybrid Fund - (G),120662,UTI - Flexi Cap Fund-Growth Option - Direct,0.0102,1.03,151,False
1646,Nippon India Conservative Hybrid Fund (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.00301,1.02,151,False
1726,PGIM India Aggressive Hybrid Equity Fund (G),150571,Sundaram Flexicap Fund Direct Growth,0.00976,1.1,151,False
1728,PGIM India Equity Savings Fund (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.01338,1.03,147,False
1739,HSBC Flexi Cap Fund (G),120046,HSBC Flexi Cap Fund - Direct Growth,0.00415,2.3,151,True
1763,ICICI Pru Regular Savings Fund (G),150571,Sundaram Flexicap Fund Direct Growth,0.01001,1.02,151,False
1801,HSBC Conservative Hybrid Fund (G),146772,HSBC Large & Mid Cap Fund - Direct Growth,0.01574,1.13,151,False
1833,UTI-Children's Equity Fund - (G),120715,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00818,1.21,151,False
1855,Tata Mid Cap Fund - (G),119178,Tata Mid Cap Fund - Direct Plan- Growth Option,0.00389,2.96,151,True
19,Aditya Birla SL Digital India Fund (G),120539,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,0.00551,2.01,151,True
190,UTI-Aggressive Hybrid Fund (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00914,1.01,151,False
19233,Motilal Oswal Focused Fund (G),122389,Motilal Oswal Focused Fund - Direct Plan Growth Option,0.00387,5.03,150,True
1926,Nippon India Power & Infra Fund (G),118763,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,0.00343,1.0,151,True
19283,Parag Parikh Flexi Cap Fund - Regular (G),151412,Mirae Asset Flexi Cap Fund - Direct Plan - Growth,0.01413,1.02,149,True
1948,Nippon India Pharma Fund (G),118758,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option,0.0023,1.0,151,True
1958,DSP India T.I.G.E.R. Fund (G),119247,DSP India T.I.G.E.R. Fund - Direct Plan - Growth,0.00467,2.67,151,True
1961,Tata Value Fund - (G),119231,Tata Value Fund -Direct Plan Growth Option,0.00518,2.22,151,True
1968,Aditya Birla SL Regular Savings Fund (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00967,1.02,151,False
2011,DSP Regular Savings Fund (G),150571,Sundaram Flexicap Fund Direct Growth,0.01144,1.04,151,False
2019,HSBC Midcap Fund (G),151036,HSBC Midcap Fund - Direct Growth,0.00219,6.69,151,True
204,HDFC Flexi Cap Fund - (G),118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,0.00304,3.08,151,True
2045,ICICI Pru Value Fund (G),120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,0.00513,2.14,151,True
2067,Baroda BNP Paribas Large Cap Fund - Regular (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00284,3.18,151,True
2069,Baroda BNP Paribas Conservative Hybrid Fund-Reg (G),150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,0.00803,1.08,151,True
2086,Kotak Large & Midcap Fund (G),120158,Kotak Large & Midcap Fund - Direct- Growth,0.00284,2.83,151,True
211,JM Large Cap Fund - (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00982,1.06,147,True
2119,HDFC Focused Fund - Regular (G),118950,HDFC Focused Fund - Growth Option - Direct Plan,0.00635,1.41,151,True
2120,HDFC Equity Savings Fund (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00836,1.11,151,False
213,JM Aggressive Hybrid Fund - (G),151290,HSBC Multi Cap Fund - Direct - Growth,0.01632,1.03,147,False
2147,ICICI Pru MidCap Fund (G),120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,0.00555,2.6,151,True
2149,Sundaram Dividend Yield Fund (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.00769,1.33,151,False
2186,SBI Focused Fund (G),119727,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,0.00818,1.88,151,True
2202,Nippon India Consumption Fund (G),118722,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus,0.00413,1.0,151,True
223,JM Value Fund (G),120486,JM Value Fund (Direct) - Growth Option,0.00596,2.45,151,True
22323,AXIS Small Cap Fund (G),125354,Axis Small Cap Fund - Direct Plan - Growth,0.00898,1.35,143,True
22370,PGIM India Midcap Fund (G),125307,PGIM India Midcap Fund - Direct Plan - Growth Option,0.00818,1.49,143,True
22425,Aditya Birla SL Banking&Financial Services (G),125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,0.00444,2.52,143,True
22606,Shriram Aggressive Hybrid Fund - Regular (G),144905,Shriram Flexi Cap Fund - Direct Growth,0.01289,1.01,144,False
2269,Nippon India Balanced Advantage Fund (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00832,1.0,151,False
2312,Tata Infrastructure Fund (G),119243,Tata Infrastructure Fund -Direct Plan -Growth Option,0.00317,4.77,151,True
23378,DSP Dynamic Asset Allocation Fund (G),151810,Mirae Asset Multicap Fund - Direct Plan - Growth,0.01429,1.02,93,False
